"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.6944,0.3257,0.3687,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.6944,0.3384,0.356,6.4115163065495e-05,0.000448806141458465,"YES *"
"Ameva",0.6944,0.3199,0.3745,6.4115163065495e-05,0.000448806141458465,"YES *"
"Chi2",0.6944,0.4109,0.2835,7.42087643403292e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.6944,0.4238,0.2706,7.42087643403292e-05,0.000448806141458465,"YES *"
"ChiMerge",0.6944,0.6668,0.0276,0.00521669007370133,0.0104333801474027,"YES *"
"MDLP",0.6944,0.6975,-0.0031,0.45908398187669,0.45908398187669,"no"
