"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.6867,0.4611,0.2256,0.0208625823327655,0.0998633069101285,"no"
"CACC",0.6867,0.4548,0.2319,0.0142661867014469,0.0998633069101285,"no"
"Ameva",0.6867,0.4305,0.2562,0.0142661867014469,0.0998633069101285,"no"
"ChiMerge",0.6867,0.6447,0.042,0.0342879679735918,0.0998633069101285,"no"
"Chi2",0.6867,0.5078,0.1789,0.0142661867014469,0.0998633069101285,"no"
"ExtendChi2",0.6867,0.5267,0.16,0.0142661867014469,0.0998633069101285,"no"
"MDLP",0.6867,0.6956,-0.0089,0.352542137499713,0.352542137499713,"no"
