"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.9225,0.6446,0.2779,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.9225,0.659,0.2635,7.42087643403292e-05,0.000448806141458465,"YES *"
"Ameva",0.9225,0.627,0.2956,6.4115163065495e-05,0.000448806141458465,"YES *"
"Chi2",0.9225,0.5693,0.3532,6.4115163065495e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.9225,0.5892,0.3334,6.4115163065495e-05,0.000448806141458465,"YES *"
"ChiMerge",0.9225,0.9356,-0.013,0.00802344907595816,0.0160468981519163,"YES *"
"MDLP",0.9225,0.9024,0.0201,0.0263310655474142,0.0263310655474142,"YES *"
