"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"Ameva",0.7822,0.5536,0.2286,8.57925990659931e-05,0.000448806141458465,"YES *"
"Chi2",0.7822,0.4115,0.3707,6.4115163065495e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.7822,0.4409,0.3413,6.4115163065495e-05,0.000448806141458465,"YES *"
"CAIM",0.7822,0.5841,0.1981,0.000114272294881383,0.000457089179525533,"YES *"
"CACC",0.7822,0.5638,0.2184,0.00019995878734921,0.000599876362047631,"YES *"
"ChiMerge",0.7822,0.785,-0.0028,0.627416046116331,1,"no"
"MDLP",0.7822,0.7875,-0.0053,0.810674978994262,1,"no"
