"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.9138,0.4094,0.5044,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.9138,0.3957,0.5181,6.4115163065495e-05,0.000448806141458465,"YES *"
"Ameva",0.9138,0.3661,0.5478,6.4115163065495e-05,0.000448806141458465,"YES *"
"Chi2",0.9138,0.591,0.3228,6.4115163065495e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.9138,0.6094,0.3044,6.4115163065495e-05,0.000448806141458465,"YES *"
"MDLP",0.9138,0.898,0.0158,0.00946331495837498,0.01892662991675,"YES *"
"ChiMerge",0.9138,0.8972,0.0167,0.104381970287785,0.104381970287785,"no"
