"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.9138,0.4094,0.5044,0.0001,0.0004,"YES *"
"CACC",0.9138,0.3957,0.5181,0.0001,0.0004,"YES *"
"Ameva",0.9138,0.3661,0.5478,0.0001,0.0004,"YES *"
"Chi2",0.9138,0.591,0.3228,0.0001,0.0004,"YES *"
"ExtendChi2",0.9138,0.6094,0.3044,0.0001,0.0004,"YES *"
"MDLP",0.9138,0.898,0.0158,0.0095,0.0189,"YES *"
"ChiMerge",0.9138,0.8972,0.0167,0.1044,0.1044,"no"
