"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.8329,0.495,0.3378,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.8329,0.4969,0.3359,7.42087643403292e-05,0.000448806141458465,"YES *"
"Ameva",0.8329,0.4725,0.3604,6.4115163065495e-05,0.000448806141458465,"YES *"
"Chi2",0.8329,0.4296,0.4032,9.56917315705946e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.8329,0.4549,0.378,6.4115163065495e-05,0.000448806141458465,"YES *"
"ChiMerge",0.8329,0.8505,-0.0177,0.0872117558874193,0.100046293068867,"no"
"MDLP",0.8329,0.8112,0.0216,0.0500231465344333,0.100046293068867,"no"
