"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.8177,0.3378,0.4799,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.8177,0.3445,0.4732,6.4115163065495e-05,0.000448806141458465,"YES *"
"Ameva",0.8177,0.3345,0.4831,6.4115163065495e-05,0.000448806141458465,"YES *"
"Chi2",0.8177,0.4159,0.4018,6.4115163065495e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.8177,0.4332,0.3845,6.4115163065495e-05,0.000448806141458465,"YES *"
"ChiMerge",0.8177,0.7973,0.0204,0.064865178868529,0.129730357737058,"no"
"MDLP",0.8177,0.8023,0.0154,0.164986117868754,0.164986117868754,"no"
