"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.8677,0.771,0.0967,6.4115163065495e-05,0.000448806141458465,"YES *"
"CACC",0.8677,0.7816,0.0862,9.90706381988885e-05,0.000448806141458465,"YES *"
"Ameva",0.8677,0.7755,0.0923,8.57925990659931e-05,0.000448806141458465,"YES *"
"Chi2",0.8677,0.5609,0.3069,6.4115163065495e-05,0.000448806141458465,"YES *"
"ExtendChi2",0.8677,0.5749,0.2928,6.4115163065495e-05,0.000448806141458465,"YES *"
"ChiMerge",0.8677,0.8674,4e-04,0.643518418825786,1,"no"
"MDLP",0.8677,0.8651,0.0027,0.513512208447467,1,"no"
