"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.8221,0.3436,0.4785,0.0001,0.0004,"YES *"
"CACC",0.8221,0.3454,0.4767,0.0001,0.0004,"YES *"
"Ameva",0.8221,0.3421,0.48,0.0001,0.0004,"YES *"
"Chi2",0.8221,0.4113,0.4108,0.0001,0.0004,"YES *"
"ExtendChi2",0.8221,0.4317,0.3904,0.0001,0.0004,"YES *"
"ChiMerge",0.8221,0.8041,0.018,0.0045,0.009,"YES *"
"MDLP",0.8221,0.8073,0.0149,0.2772,0.2772,"no"
