"Pair","N","Mean_GOLD","Mean_None","Mean_Diff","W","p_value","Sig"
"NB(disc) vs GaussNB(raw)",21,0.8188,0.7612,0.0576,140,0.4042,"no"
"LR(disc) vs LR(raw)",21,0.7839,0.7924,-0.0086,85.5,0.3051,"no"
"XGB(disc) vs XGB(raw)",21,0.8441,0.856,-0.0119,48,0.0613,"no"
