"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.9108,0.4094,0.5014,0.0001,0.0004,"YES *"
"CACC",0.9108,0.3957,0.5151,0.0001,0.0004,"YES *"
"Ameva",0.9108,0.3661,0.5448,0.0001,0.0004,"YES *"
"Chi2",0.9108,0.591,0.3198,0.0001,0.0004,"YES *"
"ExtendChi2",0.9108,0.6094,0.3014,0.0001,0.0004,"YES *"
"ChiMerge",0.9108,0.8972,0.0137,0.0068,0.0136,"YES *"
"MDLP",0.9108,0.898,0.0128,0.0419,0.0419,"YES *"
