"Pair","N","Mean_GOLD","Mean_None","Mean_Diff","W","p_value","Sig"
"NB(disc) vs GaussNB(raw)",21,0.9108,0.8988,0.012,115.5,0.7089,"no"
"LR(disc) vs LR(raw)",21,0.8668,0.8695,-0.0026,96,0.751,"no"
"XGB(disc) vs XGB(raw)",21,0.9286,0.9376,-0.009,11,0.0005,"YES *"
