"vs Method","Mean GOLD","Mean Other","Mean Diff","p (raw)","p (Holm)","Sig."
"CAIM",0.8188,0.3378,0.481,0.0001,0.0004,"YES *"
"CACC",0.8188,0.3445,0.4743,0.0001,0.0004,"YES *"
"Ameva",0.8188,0.3345,0.4842,0.0001,0.0004,"YES *"
"Chi2",0.8188,0.4159,0.4029,0.0001,0.0004,"YES *"
"ExtendChi2",0.8188,0.4332,0.3856,0.0001,0.0004,"YES *"
"ChiMerge",0.8188,0.7973,0.0215,0.0007,0.0013,"YES *"
"MDLP",0.8188,0.8023,0.0165,0.1213,0.1213,"no"
